noresp;CFD;jk;usia;jmlmotor;jmlmobil;jmlsepeda;jmldewasa;jmlanak;seringnya;kendaraan;kendaraan2;ongkos;bparkir;jarak;durasi;mdhparkir;kontitroto;toplajur;kondisijln;keringat;bnykbrg;penumpang;maksud;jmlkunj;frek;bareng;suasana;keramaian;hiburan;cocokor;penasaran
1;1;1;45;2;0;2;4;1;Sepeda m;2;1;464,4;2000;3000;20;1;1;4;1;1;0;1;4;30;Dua samp;2;5;4;4;4;1
2;2;2;46;2;1;4;4;1;Sepeda m;2;1;464,4;2000;3000;10;1;2;4;1;0;0;0;4;35;Dua samp;0;4;4;4;4;2
3;1;1;50;3;0;0;4;0;Sepeda m;2;1;464,4;3000;3000;15;2;2;4;1;1;0;0;4;44;Dua samp;2;4;4;4;4;2
4;1;2;25;0;0;2;3;0;Angkot;5;2;0;0;7000;30;0;2;8;2;0;0;0;4;50;Dua samp;5;5;2;4;4;1
5;1;1;22;2;3;3;5;0;Mobil pr;5;2;0;0;280;5;2;3;2;1;0;0;0;4;153;Dua samp;2;5;4;5;5;1
6;1;1;63;1;1;2;2;0;Sepeda m;5;2;0;0;7000;30;0;3;4;2;0;0;0;4;30;Dua samp;0;4;4;3;4;1
7;2;2;22;1;1;1;2;1;Angkutan;4;2;0;0;600;5;0;2;4;2;1;1;1;3;30;Setidakn;0;4;2;5;3;1
8;1;1;60;2;1;1;4;0;Sepeda m;5;2;0;0;7200;30;0;3;4;1;0;0;0;4;146;Dua samp;0;4;2;2;5;1
12;2;1;20;1;0;0;1;0;Sepeda m;4;2;0;0;0;5;0;3;0;1;0;0;0;3;5;Setiap p;0;4;2;4;2;1
13;1;2;19;0;0;0;1;0;Jalan ka;4;2;0;0;500;9;0;2;2;1;0;0;0;5;225;Dua samp;0;4;2;4;3;1
14;2;1;16;2;2;0;3;2;Sepeda m;2;1;10000;2000;5000;30;2;3;8;1;1;0;1;4;1;Pertama;2;4;5;2;3;5
15;2;1;46;1;1;2;1;2;Mobil pr;1;1;30000;5000;4000;30;1;3;6;1;0;0;1;4;1;Pertama;3;5;5;5;5;5
17;2;1;22;1;0;0;5;0;Sepeda m;4;2;0;0;2000;10;0;3;4;1;0;0;1;3;10;Setidakn;1;2;2;4;2;4
18;1;1;28;4;0;2;2;0;Sepeda m;5;2;0;0;5000;30;0;2;4;2;0;0;0;4;132;Setiap p;0;4;4;4;4;1
19;2;1;50;5;1;6;2;0;Sepeda m;2;1;154,8;0;1000;2;0;2;2;1;0;0;1;4;150;Setiap p;10;5;2;4;2;1
20;1;1;28;1;0;1;3;0;Sepeda m;5;2;0;0;5000;30;0;3;4;2;0;0;0;4;20;Setiap p;3;4;4;4;4;1
21;1;2;17;3;0;4;5;3;Angkot;5;2;0;0;6800;60;0;1;6;2;0;0;0;4;10;Setiap p;2;4;4;4;4;1
22;1;1;28;1;0;1;12;3;Sepeda m;5;2;0;0;5000;30;0;2;4;2;0;0;0;4;15;Setiap p;3;4;4;4;4;1
23;1;1;25;1;0;1;5;0;Sepeda m;5;2;0;0;5000;30;0;2;4;2;0;0;0;4;10;Setiap p;3;4;4;4;4;1
24;1;2;43;1;0;0;2;1;Sepeda m;2;1;928,79;3000;6000;30;2;3;4;1;0;0;1;4;35;Setiap p;2;5;5;5;5;1
25;1;1;34;1;0;1;1;0;Jalan ka;2;1;619,2;0;4000;20;0;3;4;1;0;0;0;4;75;Setiap p;1;5;5;2;5;1
26;1;1;17;1;0;0;2;0;Sepeda m;4;2;0;0;500;5;0;3;4;2;0;0;0;1;1;Pertama;1;4;4;3;4;4
27;2;1;70;1;2;3;5;0;Sepeda;5;2;0;0;8000;45;0;3;8;1;0;0;0;4;52;Setiap p;0;4;4;4;2;1
28;1;1;32;1;0;3;2;1;Sepeda m;5;2;0;0;4000;60;0;1;4;1;0;0;0;4;292;Setiap p;1;5;4;4;4;1
29;1;1;57;2;0;1;6;2;Angkot;5;2;0;0;5000;20;0;1;4;2;0;0;0;4;88;Setiap p;1;5;4;4;5;1
30;1;2;37;1;0;0;2;0;Sepeda m;4;2;0;0;1500;10;0;3;4;2;0;0;0;3;6;Setidakn;1;4;4;4;4;1
31;1;1;18;0;0;1;12;0;Jalan ka;4;2;0;0;1500;7;0;2;2;2;0;0;0;2;4;Setidakn;3;4;3;5;3;2
32;2;1;43;1;0;1;3;0;Sepeda m;4;2;0;0;700;20;0;1;4;1;0;0;0;4;44;Dua samp;0;4;4;4;4;1
34;2;1;20;1;1;1;3;1;Angkot;5;2;0;0;800;60;0;3;6;1;0;1;1;4;100;Setiap p;0;4;2;4;4;1
35;2;1;22;1;0;1;2;0;Angkot;5;2;0;0;10000;30;0;3;6;1;0;0;1;4;50;Setiap p;1;4;2;4;2;1
36;2;1;21;2;6;1;1;2;Sepeda;5;2;0;0;2000;60;0;1;6;2;0;0;0;4;276;Setiap p;0;5;5;4;4;1
37;1;1;60;3;0;2;4;0;Sepeda m;5;2;0;0;20000;60;0;2;6;2;0;0;0;4;88;Setiap p;2;4;4;2;5;1
38;1;2;49;4;1;0;2;2;Sepeda m;2;1;4953,56;3000;32000;20;1;2;4;1;1;0;1;4;10;Setiap p;2;5;4;5;4;2
39;1;2;41;2;0;3;7;0;Sepeda m;5;2;0;0;10900;30;0;2;8;1;0;0;0;4;228;Setiap p;1;4;3;4;2;1
40;1;1;42;1;0;2;5;0;Sepeda;5;2;0;0;4000;20;0;2;4;2;0;0;0;4;30;Setiap p;0;4;4;4;5;1
41;2;1;40;2;0;1;3;1;Sepeda;5;2;0;0;2000;20;0;0;6;2;0;0;0;4;40;Setiap p;2;4;4;4;4;1
42;1;1;42;3;0;1;2;1;Sepeda m;2;1;1547,99;3000;10000;20;1;3;3;2;0;0;1;4;50;Setiap p;0;4;4;4;4;1
43;1;2;22;4;2;2;3;0;Mobil pr;1;1;11098,27;10000;12000;30;3;2;4;2;1;0;1;4;5;Setiap p;3;4;4;2;2;1
44;1;1;29;0;0;1;3;0;Sepeda m;5;2;0;0;4000;50;0;2;4;2;0;0;0;4;176;Setiap p;0;5;4;3;4;1
45;1;1;30;0;0;1;2;2;Sepeda m;5;2;0;0;6000;60;0;2;4;1;0;0;0;4;160;Setiap p;0;5;4;4;4;1
46;1;1;51;2;1;1;4;0;Sepeda m;5;2;0;0;3000;20;0;2;4;2;0;0;0;4;88;Setiap p;0;5;4;4;4;1
47;2;1;23;2;0;1;5;1;Sepeda m;5;2;0;0;1000;5;0;3;6;1;0;0;0;4;8;Setiap p;0;4;4;4;2;1
48;2;1;28;2;1;1;2;0;Sepeda m;5;2;0;0;15000;30;0;3;4;2;0;0;0;4;88;Setiap p;0;5;4;2;5;1
49;2;1;55;4;2;4;3;0;Mobil pr;5;2;0;0;10000;15;0;3;8;2;0;0;0;4;50;Setiap p;3;4;4;4;2;1
50;2;1;45;1;0;1;2;2;Sepeda m;5;2;0;0;3700;30;0;2;6;1;0;0;0;4;324;Setiap p;0;4;4;4;4;1
51;1;1;22;2;2;2;4;0;Sepeda m;1;1;9380,81;2000;10143;30;2;3;4;2;0;0;1;4;156;Setidakn;2;4;4;2;2;1
52;1;2;40;1;1;1;2;1;Sepeda m;2;1;773,99;2000;5000;15;2;3;4;1;0;0;1;4;10;Setidakn;1;4;4;2;4;2
53;1;1;21;3;1;5;4;1;Sepeda m;1;1;10000;5000;10000;60;4;3;4;2;0;0;1;4;324;Setidakn;2;5;5;5;3;3
54;2;1;56;3;6;10;4;1;Sepeda;5;2;0;0;2500;20;0;2;4;1;0;0;1;4;11;Setidakn;1;4;4;4;2;1
55;1;2;49;0;0;2;0;2;Angkot;4;2;0;0;2000;10;0;3;2;2;0;0;0;4;308;Setiap p;1;4;4;4;4;1
56;2;1;15;1;2;2;3;1;Sepeda m;2;1;10000;2000;5000;30;2;3;8;1;0;0;1;4;3;Setidakn;2;5;5;4;3;3
57;1;1;21;0;0;0;2;0;Jalan ka;4;2;0;0;500;10;0;1;2;1;0;0;0;3;10;Tidak te;2;4;5;5;2;2
58;2;2;25;1;0;0;15;1;Sepeda m;2;1;5000;3000;3500;15;1;3;6;1;0;1;1;4;5;Setidakn;0;4;4;4;4;2
60;1;1;21;2;0;0;4;0;Sepeda m;2;1;1238,39;2000;8000;20;1;2;4;1;0;0;0;4;5;Tidak te;1;4;4;4;1;1
61;1;2;21;0;0;0;0;0;Angkot;1;1;2774,57;3000;3000;10;4;3;4;2;1;1;1;4;10;Tidak te;5;4;4;4;1;2
62;2;1;33;1;2;1;4;1;Mobil pr;5;2;0;0;1000;10;0;2;4;2;0;0;0;4;3;Tidak te;1;5;4;5;2;1
63;1;1;28;1;2;2;4;0;Sepeda m;5;2;0;0;4600;15;3;3;4;2;0;0;0;4;8;Tidak te;1;5;4;5;5;4
66;1;1;20;1;2;2;4;0;Sepeda m;1;1;6473,99;5000;7000;15;4;3;4;2;1;0;1;4;13;Tidak te;4;3;2;4;3;1
67;1;2;50;3;0;2;3;0;Sepeda m;4;2;0;0;1700;20;0;2;4;1;0;0;0;4;8;Setiap p;3;5;4;4;5;1
68;1;2;22;3;0;2;3;1;Sepeda m;5;2;0;0;3000;20;0;3;4;2;0;0;0;4;10;Tidak te;1;4;4;4;2;1
69;1;1;52;2;2;3;5;1;Sepeda m;5;2;0;0;4000;45;0;3;4;2;1;0;0;4;20;Tidak te;5;4;4;5;5;1
70;2;2;21;1;1;2;2;1;Mobil pr;1;1;647,4;2000;700;4;4;1;4;2;1;1;1;4;1;Tidak te;4;4;5;5;1;1
71;1;1;21;4;3;2;4;2;Sepeda m;1;1;11098,27;5000;12000;60;4;1;4;1;0;1;1;4;6;Tidak te;3;2;4;4;4;1
72;1;2;36;1;0;1;2;2;Sepeda m;4;2;0;0;900;10;0;3;2;2;0;0;0;3;4;Tidak te;2;5;4;4;3;1
73;1;1;35;2;1;1;4;3;Mobil pr;5;2;0;0;5000;60;0;2;4;2;0;0;0;4;5;Tidak te;0;4;4;4;4;1
74;2;2;52;2;1;3;3;0;Mobil pr;5;2;0;0;13000;50;0;2;4;1;0;0;1;4;2;Tidak te;1;4;3;4;2;5
75;1;1;56;1;1;2;5;0;Mobil pr;5;2;0;0;6000;50;0;3;4;2;0;0;0;4;5;Tidak te;2;5;4;4;5;1
76;1;2;67;1;0;2;3;2;Sepeda m;5;2;0;0;15000;60;0;3;4;2;0;0;0;4;3;Tidak te;6;5;4;4;4;4
77;2;2;31;1;0;2;4;1;Angkot;5;2;0;0;6000;30;0;2;6;2;0;0;0;4;4;Tidak te;1;3;5;5;2;1
78;1;2;36;3;0;3;3;2;Sepeda m;2;1;773,99;3000;5000;30;2;3;4;2;1;0;1;4;15;Tidak te;3;4;4;2;2;1
79;1;1;23;2;0;1;3;0;Sepeda m;5;2;0;0;10000;45;0;3;3;1;0;0;0;4;3;Tidak te;3;4;4;4;4;1
81;2;1;65;2;0;2;4;0;Sepeda m;5;2;0;0;3000;45;0;1;6;1;0;0;0;4;3;Tidak te;0;4;4;4;4;5
82;1;2;20;2;0;2;7;1;Sepeda m;5;2;0;0;4000;60;0;3;4;1;0;0;0;4;7;Tidak te;4;4;2;4;4;1
83;1;2;25;3;1;1;5;1;Sepeda m;5;2;0;0;8800;60;0;3;4;1;0;0;0;4;5;Tidak te;3;4;4;2;4;1
84;1;2;42;1;1;3;2;2;Sepeda m;1;1;17572,25;3000;19000;40;3;1;8;1;0;1;1;4;5;Tidak te;4;4;2;4;4;2
85;1;2;19;3;0;1;3;2;Sepeda m;4;2;0;0;1000;20;0;3;4;1;1;1;1;2;10;Setidakn;1;5;2;2;4;1
86;1;2;22;1;0;1;3;1;Angkot;5;2;0;0;1000;10;0;1;4;2;0;0;0;4;20;Tidak te;0;5;4;4;2;1
87;1;2;22;2;1;1;2;0;Sepeda m;1;1;6473,99;3000;7000;25;4;2;4;2;1;0;1;4;104;Tidak te;4;4;4;4;4;1
88;1;1;19;1;2;3;5;0;Sepeda m;5;2;0;0;8000;15;0;2;4;1;0;0;0;4;2;Tidak te;3;5;5;5;4;1
90;1;2;19;0;1;0;0;0;Mobil pr;2;1;5000;0;2500;5;0;2;2;1;1;0;0;5;6;Tidak te;6;4;5;4;4;1
91;2;1;19;1;0;1;3;0;Sepeda m;2;1;5000;2000;9000;20;1;2;4;1;1;0;1;5;1;Pertama;1;4;2;4;3;3
92;1;1;20;1;0;0;1;0;Sepeda m;2;1;131,58;2000;850;5;1;3;3;2;0;0;0;5;5;Tidak te;0;5;4;4;1;1
93;2;1;58;3;1;3;4;0;Sepeda m;4;2;0;0;10;4;0;2;2;1;1;1;1;3;308;Setiap p;1;4;2;4;2;1
97;1;1;24;0;0;0;1;0;Angkutan;4;2;0;0;1000;5;0;2;2;1;0;0;0;3;20;Tidak te;1;4;4;5;1;1
98;1;2;27;2;0;2;2;2;Sepeda m;4;2;0;0;2000;15;0;3;2;2;0;0;1;4;1;Pertama;4;4;4;4;4;4
99;1;1;23;1;0;1;1;0;Sepeda m;2;1;18000;0;18000;40;0;2;4;2;1;1;0;5;5;Tidak te;0;4;4;4;4;1
100;1;2;27;3;1;2;4;0;Sepeda m;2;1;619,2;2000;4000;10;2;2;4;2;1;1;1;5;10;Dua samp;1;4;4;4;4;1
102;2;1;30;1;1;1;1;1;Sepeda m;2;1;7000;3000;21000;30;1;2;8;1;1;1;1;1;8;Dua samp;1;4;5;4;2;5
103;2;2;21;2;1;3;3;0;Mobil pr;1;1;9248,55;0;10000;30;3;3;4;1;0;1;0;1;1;Pertama;3;4;3;3;4;4
105;2;2;15;1;1;2;2;3;Mobil pr;1;1;9248,55;0;10000;30;0;3;8;1;0;1;1;1;1;Pertama;1;4;4;4;2;5
106;1;2;25;1;0;0;2;1;Sepeda m;4;2;0;0;500;10;0;3;4;1;0;0;1;3;1;Pertama;3;4;3;4;4;5
107;2;2;28;1;1;4;4;3;Mobil pr;1;1;10080,92;5000;10900;45;2;3;6;2;1;1;1;1;28;Setiap p;2;5;5;5;5;1
108;1;2;43;1;0;0;2;2;Jalan ka;4;2;0;0;3000;30;0;3;4;2;0;0;0;4;30;Setiap p;1;4;4;4;5;1
109;1;1;21;2;2;2;4;2;Sepeda m;4;2;0;0;3000;30;0;2;4;2;0;0;0;4;15;Tidak te;0;5;2;2;2;1
110;1;2;40;0;1;0;3;3;Mobil pr;1;1;1849,71;5000;2000;10;3;2;4;2;1;1;1;1;20;Setiap p;3;4;2;4;4;4
111;2;1;30;1;0;0;5;6;Sepeda m;2;1;10000;3000;3000;60;3;3;6;2;1;1;0;1;8;Setiap p;1;5;5;5;5;1
112;2;2;19;2;2;1;4;0;Sepeda m;1;1;9248,55;4000;10000;30;1;3;6;1;0;1;1;1;2;Setiap p;5;4;4;4;2;2
113;2;2;70;1;1;1;1;0;Sepeda;2;1;928,79;5000;6000;30;1;3;6;1;1;1;0;1;12;Setiap p;2;4;4;4;4;2
114;2;1;30;2;1;1;2;0;Sepeda m;1;1;6011,56;10000;6500;20;3;2;8;1;0;1;1;1;90;Setiap p;2;5;4;4;4;1
115;2;1;35;1;1;1;2;2;Mobil pr;1;1;9248,55;2000;10000;15;2;2;4;1;0;1;0;1;132;Setiap p;1;4;4;4;4;2
116;1;1;40;0;2;0;3;1;Angkot;1;1;462,43;0;500;5;1;2;2;1;0;1;0;1;12;Setiap p;2;4;4;3;4;1
117;2;1;22;10;0;0;16;0;Sepeda m;2;1;278,64;0;1800;30;2;3;6;1;1;1;1;1;4;Setiap p;1;4;4;5;4;1
118;2;1;19;1;0;1;3;2;Sepeda m;2;1;10000;2000;3000;10;1;3;6;1;1;1;1;1;32;Setiap p;2;5;5;5;5;5
119;2;2;37;1;1;1;3;1;Sepeda m;1;1;3699,42;0;4000;15;3;2;4;1;1;1;1;1;48;Setiap p;3;4;5;5;2;1
120;2;1;47;1;1;3;3;2;Sepeda m;1;1;7398,84;3000;8000;20;2;2;6;1;0;1;1;1;15;Setiap p;3;4;4;4;2;1
121;2;2;36;1;1;0;2;2;Sepeda m;1;1;2219,65;10000;2400;15;4;2;6;1;1;1;1;1;336;Setiap p;2;4;5;5;2;1
122;2;1;36;2;0;0;2;1;Sepeda m;2;1;464,4;0;3000;15;2;3;6;1;0;1;0;1;240;Setiap p;1;4;4;4;4;2
123;1;2;25;1;0;1;2;1;Sepeda m;2;1;835,91;4500;5400;30;2;2;4;2;0;1;1;1;4;Setiap p;1;4;4;4;4;2
124;1;1;40;1;0;2;2;3;Sepeda m;2;1;928,79;2000;6000;30;1;2;8;2;0;0;0;1;40;Setiap p;1;2;4;4;2;1
125;2;1;27;2;1;1;4;1;Mobil pr;1;1;50000;5000;20000;30;2;2;4;2;0;1;0;1;12;Setiap p;3;5;5;5;1;5
126;2;1;34;4;3;4;2;3;Sepeda m;2;1;959,75;0;6200;5;2;2;6;1;0;1;1;1;70;Setiap p;5;5;4;5;5;1
127;2;1;28;1;1;0;2;0;Sepeda m;1;1;35000;15000;10000;20;1;2;6;1;0;1;0;1;96;Setiap p;10;4;4;4;4;4
128;1;1;18;2;0;0;2;2;Sepeda m;2;1;464,4;2000;3000;25;4;2;4;2;0;1;1;1;12;Setiap p;2;4;5;4;4;2
129;1;2;17;1;3;0;4;3;Sepeda m;2;1;11000;0;6000;17;0;3;4;2;0;0;1;1;2;Tidak te;3;4;4;4;4;1
133;2;1;23;1;0;0;0;0;Sepeda m;2;1;10000;3000;5000;10;1;3;6;2;1;0;0;1;2;Tidak te;0;4;5;5;2;2
134;2;1;48;1;0;1;6;1;Sepeda m;2;1;773,99;0;5000;15;1;2;6;1;1;1;0;1;68;Tidak te;0;4;4;4;2;1
135;1;2;23;0;0;0;1;0;Angkutan;1;1;6658,96;3000;7200;20;2;2;6;1;0;1;1;2;30;Dua samp;3;2;5;2;4;1
138;1;2;28;0;0;0;1;0;Angkutan;1;1;5000;0;4000;10;0;3;4;1;0;1;1;2;10;Dua samp;15;4;4;4;2;1
139;1;2;19;0;0;0;0;0;Angkutan;1;1;1942,2;0;2100;3;4;2;4;1;1;1;1;2;1;Pertama;2;4;4;4;4;2
142;1;1;21;0;1;1;2;0;Mobil pr;1;1;2959,54;7000;3200;10;1;0;2;1;1;0;0;2;2;Pertama;1;2;3;4;1;5
143;1;2;21;1;0;0;5;2;Sepeda m;2;1;6000;0;3000;10;0;3;4;2;1;0;0;2;1;Pertama;10;3;5;2;4;4
144;1;1;41;2;1;2;6;2;Sepeda m;4;2;0;0;1500;20;0;1;2;2;0;0;1;3;50;Setidakn;4;4;5;4;5;1
147;1;1;19;3;0;1;8;9;Sepeda m;2;1;232,2;2000;1500;70;2;3;4;2;1;0;1;2;1;Pertama;8;5;5;4;3;5
148;1;1;52;1;1;3;3;1;Sepeda m;2;1;464,4;2000;3000;10;2;1;4;2;0;0;0;2;20;Setiap p;1;4;4;2;2;1
149;2;1;33;1;1;1;2;4;Sepeda m;2;1;20000;3000;2000;5;1;2;4;1;1;0;0;2;10;Setiap p;1;5;5;5;2;5
150;1;1;21;0;0;0;0;0;Jalan ka;4;2;0;0;700;15;0;2;2;2;0;0;1;3;3;Tidak te;2;4;3;5;2;3
152;1;1;20;1;0;0;0;0;Sepeda m;4;2;0;0;1000;5;0;2;2;1;0;0;0;4;2;Tidak te;2;5;4;4;4;1
153;1;2;22;3;1;2;6;1;Sepeda m;2;1;7500;2000;13000;45;4;2;4;1;0;0;1;2;5;Setidakn;0;4;5;4;2;1
154;1;2;19;0;0;0;1;0;Jalan ka;2;1;154,8;3000;1000;20;3;3;4;2;0;0;1;2;4;Tidak te;8;5;4;5;3;2
155;2;1;20;5;1;1;4;0;Sepeda m;2;1;2321,98;2000;15000;20;2;3;8;1;1;1;1;2;6;Tidak te;5;4;4;4;3;1
156;1;1;19;1;0;0;1;0;Sepeda m;2;1;154,8;3000;1000;15;1;3;4;2;0;1;1;2;2;Tidak te;8;5;5;4;3;2
157;2;1;37;1;1;4;1;2;Sepeda m;4;2;0;0;1500;10;0;1;4;2;0;0;0;3;50;Tidak te;4;5;5;5;2;1
159;2;2;12;2;2;2;3;1;Mobil pr;5;2;0;0;1800;15;3;2;4;2;0;0;0;2;5;Tidak te;2;4;5;3;2;1
160;2;2;19;3;1;2;3;4;Sepeda m;2;1;1702,79;5000;11000;14;2;2;6;1;0;1;0;2;29;Tidak te;8;5;5;4;4;1
161;1;1;22;2;1;1;4;0;Sepeda m;2;1;1547,99;2000;10000;20;2;2;4;1;0;1;1;2;3;Tidak te;1;4;2;4;2;3
162;1;1;19;2;0;0;4;0;Sepeda m;2;1;464,4;2000;3000;30;1;2;4;2;1;0;1;2;3;Tidak te;19;4;4;4;4;2
163;1;1;21;3;1;0;3;0;Sepeda m;2;1;3095,98;3000;20000;60;4;2;4;2;1;0;1;2;2;Tidak te;1;4;4;3;2;1
166;1;1;17;2;2;3;4;1;Sepeda m;2;1;1547,99;2000;10000;20;1;2;4;2;1;1;0;2;4;Tidak te;0;4;5;4;2;2
167;1;1;21;3;1;2;3;2;Sepeda m;2;1;1083,59;0;7000;30;2;2;4;1;1;0;0;2;4;Tidak te;7;4;4;4;3;1
168;1;1;22;3;2;1;4;1;Sepeda m;1;1;7398,84;5000;8000;15;3;3;6;2;1;0;1;2;20;Tidak te;13;5;4;4;3;1
169;1;2;20;1;0;0;1;0;Sepeda m;1;1;20346,82;0;22000;60;2;3;4;2;0;0;1;2;2;Tidak te;11;5;5;5;4;4
171;1;1;17;0;0;0;8;0;Jalan ka;4;2;0;0;2300;20;0;1;2;1;0;0;0;2;1;Pertama;2;4;4;5;2;1
173;1;2;24;1;0;0;1;0;Sepeda m;2;1;1083,59;3000;7000;30;3;2;4;2;1;1;1;3;3;Dua samp;6;4;4;4;3;1
174;2;1;34;1;1;1;2;2;Sepeda m;2;1;1857,59;3000;12000;30;2;2;8;1;1;0;1;3;10;Dua samp;3;4;4;4;2;1
175;2;1;34;2;1;1;1;2;Sepeda m;2;1;3000;2000;3000;15;2;3;4;2;0;0;1;3;2;Dua samp;4;5;5;5;3;2
177;2;2;21;2;1;0;3;1;Sepeda m;4;2;0;0;2000;25;0;1;4;1;0;1;0;4;2;Tidak te;1;4;4;5;4;3
178;2;1;36;1;0;2;5;1;Sepeda m;4;2;0;10000;1000;15;1;1;1;2;1;0;1;1;180;Setiap p;1;5;5;5;4;5
179;1;1;25;1;1;1;3;0;Sepeda;5;2;0;0;7000;25;0;3;4;2;1;0;0;3;10;Dua samp;1;5;4;4;5;1
180;2;1;50;3;0;0;4;2;Sepeda m;2;1;154,8;2000;1000;5;2;3;4;1;1;0;1;3;292;Dua samp;3;4;4;4;2;1
182;1;1;23;1;1;1;7;1;Jalan ka;1;1;6011,56;2000;6500;20;3;2;4;1;0;0;1;3;50;Dua samp;8;4;3;5;3;1
183;2;2;28;1;0;0;6;0;Sepeda m;4;2;0;0;500;5;0;0;1;1;0;0;1;3;20;Tidak te;2;4;4;4;1;1
185;2;2;20;1;2;1;3;0;Sepeda m;1;1;20000;5000;10000;30;1;1;4;2;1;0;1;3;180;Dua samp;4;5;5;5;2;5
186;2;2;21;0;0;3;4;0;Sepeda m;2;1;5000;3000;1000;5;2;2;6;2;1;0;1;3;162;Dua samp;2;5;5;5;2;4
187;2;1;26;1;1;0;5;0;Sepeda m;4;2;0;0;210;1;0;0;1;1;0;0;0;3;3;Tidak te;2;4;4;4;1;2
188;2;1;36;0;1;1;2;2;Mobil pr;1;1;1849,71;5000;2000;10;1;2;4;1;1;0;1;3;1;Pertama;4;5;5;5;1;5
189;1;1;34;1;0;0;2;1;Sepeda m;2;1;3869,97;3000;25000;40;3;3;4;1;1;0;1;3;1;Pertama;2;5;4;4;3;4
190;2;2;51;1;2;1;4;1;Mobil pr;1;1;1849,71;5000;2000;10;4;3;4;2;1;0;1;3;1;Pertama;7;4;4;4;2;5
191;1;1;57;2;1;2;4;1;Mobil pr;1;1;9248,55;3000;10000;45;4;3;4;2;1;0;1;3;1;Pertama;1;5;4;2;2;5
192;1;1;54;2;0;1;2;1;Sepeda m;2;1;4643,96;0;30000;120;2;1;8;2;0;0;0;3;1;Pertama;1;5;2;2;2;4
